;Descricao;Preco
119;Processador Intel Core I9-12900 12ª Geração, 1.8GHz, Cache 30MB, Núcleos 16, Threads 24, LGA 1700 - Bx8071512900;R$ 2.707,12
120;Processador Intel Core I5-10400, 2.9GHz, Cache 12MB, LGA 1200 - BX8070110400;R$ 1.097,12
121;Processador Intel Core I5, 3.30GHz, Quad Core, 4 Threads, HD Graphics 4600, OEM;R$ 203,56
122;Processador 1151 Core I5 8500t 2.10ghz/9mb S/cooler Tray I5-8500t Intel;R$ 467,46
123;Processador Intel Core I5-9500 Coffee Lake, 4.4GHz, LGA 1151 - BX80684I9500;R$ 655,88
124;Processador Intel Core i7 11700 2.50GHz;R$ 2.267,99
125;Processador Intel 1151 Core I7 8700 3.7ghz/12mb S/ Cooler Tray 8°g I7-8700;R$ 1.025,55
126;Processador Intel Core I5-10600KF, 4.1GHz, Cache 12MB, LGA 1200 - BX8070110600KF;R$ 1.223,99
127;Processador Intel Core I7 10700K 10ª Geração, 3.80GHz, Cache 16MB, Octa Core, 16 Threads, LGA 1200 - BX8070110700K;R$ 2.934,55
128;Processador Intel I3-7100, 3.70ghz, 3mb Cache, Fclga1151;R$ 180,22
129;Processador Intel Core I3 81xx 3.6 1151 Oem;R$ 329,26
130;Processador Intel Core I7-13700KF, 2.5GHz, 1700 - BX8071513700KFI;R$ 3.565,20
131;Processador Intel Core I7-3770 3.4ghz 8mb Cm8063701211600 LGA 1155 Oem;R$ 410,40
132;Processador Intel Celeron G5905, 4MB, 3.5ghz, LGA 1200, Bx80701g5905;R$ 419,00
133;Processador Intel Core I7 3770, 3.40GHz, Smart Cache 8MB, Quad Core, 8 Threads, LGA 1155, OEM;R$ 483,76
134;Processador Intel Core I9 10900KF, 5.30GHz, Box - BX8070110900KF;R$ 2.100,72
135;Processador Intel Core I5-8400t 1.70ghz 1151 Oem;R$ 497,87
136;Processador Intel Celeron G5925 10ª Geração, 3.6GHz, Cache 4MB, LGA 1200 - BX80701G5925;R$ 336,40
137;Processador Intel Core I7 6700 Skylake, 3.4GHz (Turbo Max 4.00GHz), Cache 8MB, LGA 1151;R$ 1.419,00
138;Processador Intel Core I3-13100, 3.4ghz (4.5ghz Turbo), Lga1700, 12MB Cache, 13ª Geração;R$ 995,28
139;Processador 1150 Core I7 4790 3,6ghz/8MB S/cooler Tray 4ªg I7-4790 Intel;R$ 427,02
140;Processador Intel Core I9-14900f, 3.6 Ghz (5.8Ghz Turbo), Cache 36MB, Intel LGA 1700, 24-core 32-threads;R$ 5.288,80
141;Processador Intel Core I3-3220, 3mb, Cache 3.30ghz, 1155 Oem;R$ 147,97
142;Processador Intel Core I9 13900f, 2.00ghz, 24-core, LGA1700;R$ 2.929,52
143;Processador Intel Core I9 11900K 11ª Geração, 3.5GHz, Cache 16MB, Octa Core, 16 Threads, LGA 1200 - BX8070811900K;R$ 2.121,52
144;Processador Intel Core i3 3240 Oem;R$ 134,81
145;Processador Intel Core I3 7100, 3.9GHz, Cache 3MB, LGA 1151, Sem Cooler Tray;R$ 189,67
146;Processador Intel Core I7-10700KA, 3.8GHz, Cachê 16MB, Octa Core, LGA 1200 - BX8070110700KA;R$ 2.483,99
147;Processador Intel Core I5 4690, 4ª Geração, 3.50ghz 6MB Oem 1150;R$ 148,95
148;Processador Intel Core i7 10700KF 3.80GHz;R$ 2.159,99
149;Processador Intel Core I5 650, 3.2GHz, Cache 4MB, LGA 1156, Sem Cooler Tray;R$ 227,97
150;Processador Intel Core I3 4130 4ª Geração, 3.40GHz, Cache 3MB, Dual Core, 4 Threads, LGA 1150, OEM;R$ 55,11
151;Processador Intel Core I9 11900f Box LGA 1200 16MB Cache S/ Vídeo - Bx8070811900f;R$ 3.783,89
152;Processador Intel Core I5-8500, 3.0ghz, 9MB, S/cooler Tray;R$ 489,71
153;Processador Intel Core Ultra 5-245KF, 5.2GHz, Até 14 Núcleos, Com suporte a PCIe 5.0 e 4.0 e suporte a DDR5 - BX80768245KF;R$ 2.249,99
154;Processador Intel Core I9-12900K, 12ª Geração, 3.2GHz, 5.2GHz Max Turbo, Cache 30MB, Octa Core, 24 Threads, LGA 1700, Vídeo Integrado - BX8071512900K;R$ 2.939,12
155;Processador Intel Core I5-11600KF 3.9GHz, 12MB, LGA 1200 - BX8070811600KF I;R$ 1.902,30
156;Processador Intel Pentium Gold G6400 - BX80701G6400;R$ 575,52
157;Processador Intel Core I5-4440 LGA 1150;R$ 250,90
158;Processador Intel Core I9-12900KF, 3.2GHz, Cache 30MB, Hexa Core, 24 Threads, LGA 1700 - BX8071512900KF;R$ 2.753,79
159;Processador Intel G7400 Pentium Gold, 3.70GHz, Cache 6MB, 4 Threads, 1700, Box - BX80715G7400;R$ 656,72
160;Processador I5 3470, 3.20ghz, DDR3, LGA 1155, 3°geração, Oem Intel;R$ 300,10
161;Processador Intel Ultra 5 245kf Arrow Lake 4.2ghz 5.2ghz Turbo 14cores 214threads LGA 1851 S/video S/cooler;R$ 2.272,72
162;Processador Intel Core I5 11600K 11ª Geração, 3.90GHz, Cache 12MB, Hexa Core, 12 Threads, LGA 1200, Intel UHD Graphics 750 - BX8070811600K;R$ 2.286,44
163;Processador Intel Core I5 10400F, 2.90GHz, Cache 12MB, LGA 1200, Sem Cooler Tray - BX8070110400F;R$ 757,24
164;Processador Intel Core I3 13100f Box LGA 1700 3.4GHZ 12MB Cache S/ Vídeo - Bx8071513100f;R$ 711,48
165;Processador Intel Core I7 13700, 2.10ghz, 16-core, LGA1700;R$ 3.227,68
166;Processador Intel i5-10600K 4.10GHz;R$ 1.421,99
167;Processador Intel Core i7 10700K 3.80GHz;R$ 2.231,99
168;Processador Intel Celeron G5905, 10ª Geração, 3.50GHz, Cache 4MB, Dual Core, 2 Threads, LGA 1200, Intel UHD Graphics 610 - BX80701G5905;R$ 313,52
169;Processador I5 11400 Intel Core 2.6ghz 12mb LGA 1200 Bx8070811400;R$ 1.222,32
170;Processador Intel I7-3770, 3.90ghz, 8mb Cache - Fclga1155.;R$ 390,22
